Season,Matchday,Date,Time,Home Team,Away Team,Result,Home Goals,Away Goals,Status,Match URL
2025,18,6/29/25,3:00 PM,Riteriai,DFK Dainava,0:2,0,2,played,https://www.transfermarkt.com/fk-riteriai_dfk-dainava-alytus/index/spielbericht/4564287
2025,18,,4:00 PM,FA Šiauliai,Džiugas,5:0,5,0,played,https://www.transfermarkt.com/fa-siauliai_fc-dziugas-telsiai/index/spielbericht/4564286
2025,18,,5:25 PM,Panevėžys,Žalgiris,2:4,2,4,played,https://www.transfermarkt.com/fk-panevezys_fk-zalgiris-vilnius/index/spielbericht/4564288
2025,18,6/30/25,6:00 PM,Hegelmann,Sūduva,0:2,0,2,played,https://www.transfermarkt.com/fc-hegelmann_fk-suduva-marijampole/index/spielbericht/4564289
2025,18,,,Banga,Kauno Žalgiris,0:2,0,2,played,https://www.transfermarkt.com/fk-banga-gargzdai_fk-kauno-zalgiris/index/spielbericht/4564290
2025,19,7/4/25,6:00 PM,Žalgiris,Banga,1:0,1,0,played,https://www.transfermarkt.com/fk-zalgiris-vilnius_fk-banga-gargzdai/index/spielbericht/4629728
2025,19,7/5/25,5:00 PM,Hegelmann,FA Šiauliai,5:2,5,2,played,https://www.transfermarkt.com/fc-hegelmann_fa-siauliai/index/spielbericht/4629729
2025,19,,,Riteriai,Kauno Žalgiris,1:5,1,5,played,https://www.transfermarkt.com/fk-riteriai_fk-kauno-zalgiris/index/spielbericht/4629730
2025,19,7/6/25,3:45 PM,DFK Dainava,Džiugas,0:2,0,2,played,https://www.transfermarkt.com/dfk-dainava-alytus_fc-dziugas-telsiai/index/spielbericht/4629731
2025,19,7/7/25,6:00 PM,Panevėžys,Sūduva,1:2,1,2,played,https://www.transfermarkt.com/fk-panevezys_fk-suduva-marijampole/index/spielbericht/4629732
2025,20,7/11/25,6:00 PM,Riteriai,FA Šiauliai,0:2,0,2,played,https://www.transfermarkt.com/fk-riteriai_fa-siauliai/index/spielbericht/4629758
2025,20,7/13/25,5:25 PM,Džiugas,Banga,0:0,0,0,played,https://www.transfermarkt.com/fc-dziugas-telsiai_fk-banga-gargzdai/index/spielbericht/4629760
2025,20,7/14/25,7:00 PM,DFK Dainava,Panevėžys,0:3,0,3,played,https://www.transfermarkt.com/dfk-dainava-alytus_fk-panevezys/index/spielbericht/4629762
2025,20,8/7/25,6:00 PM,Žalgiris,Sūduva,1:0,1,0,played,https://www.transfermarkt.com/fk-zalgiris-vilnius_fk-suduva-marijampole/index/spielbericht/4629759
2025,20,8/27/25,6:00 PM,Kauno Žalgiris,Hegelmann,2:1,2,1,played,https://www.transfermarkt.com/fk-kauno-zalgiris_fc-hegelmann/index/spielbericht/4629761
2025,21,7/19/25,6:00 PM,Žalgiris,Džiugas,2:0,2,0,played,https://www.transfermarkt.com/fk-zalgiris-vilnius_fc-dziugas-telsiai/index/spielbericht/4629768
2025,21,7/20/25,5:25 PM,Panevėžys,FA Šiauliai,2:0,2,0,played,https://www.transfermarkt.com/fk-panevezys_fa-siauliai/index/spielbericht/4629769
2025,21,,6:30 PM,Sūduva,Riteriai,0:0,0,0,played,https://www.transfermarkt.com/fk-suduva-marijampole_fk-riteriai/index/spielbericht/4629770
2025,21,7/21/25,6:30 PM,Kauno Žalgiris,DFK Dainava,3:0,3,0,played,https://www.transfermarkt.com/fk-kauno-zalgiris_dfk-dainava-alytus/index/spielbericht/4629772
2025,21,8/13/25,6:00 PM,Banga,Hegelmann,0:1,0,1,played,https://www.transfermarkt.com/fk-banga-gargzdai_fc-hegelmann/index/spielbericht/4629771
2025,22,7/27/25,3:45 PM,Sūduva,Džiugas,2:3,2,3,played,https://www.transfermarkt.com/fk-suduva-marijampole_fc-dziugas-telsiai/index/spielbericht/4629754
2025,22,7/28/25,7:00 PM,Hegelmann,Riteriai,3:0,3,0,played,https://www.transfermarkt.com/fc-hegelmann_fk-riteriai/index/spielbericht/4629757
2025,22,8/20/25,6:00 PM,Žalgiris,DFK Dainava,1:1,1,1,played,https://www.transfermarkt.com/fk-zalgiris-vilnius_dfk-dainava-alytus/index/spielbericht/4629753
2025,22,,,FA Šiauliai,Kauno Žalgiris,2:2,2,2,played,https://www.transfermarkt.com/fa-siauliai_fk-kauno-zalgiris/index/spielbericht/4629755
